street,crashes
Pärnu mnt,474
Narva mnt,339
Paldiski mnt,335
Sõpruse pst,282
Tartu mnt,220
A. H. Tammsaare tee,196
Peterburi tee,171
Sõle tn,161
Ehitajate tee,155
Mustamäe tee,154
Õismäe tee,148
Kopli tn,130
Laagna tee,128
Endla tn,126
Punane tn,124
Pirita tee,96
Vabaduse pst,93
(unknown),90
E. Vilde tee,88
Toompuiestee,88
J. Smuuli tee,84
Akadeemia tee,84
Liivalaia tn,77
Gonsiori tn,76
Tehnika tn,75
Estonia pst,71
Kadaka tee,71
Linnamäe tee,70
Mustakivi tee,69
Telliskivi tn,65
Suur-Sõjamäe tn,64
Järvevana tee,64
Tööstuse tn,62
Merivälja tee,59
Tulika tn,59
K. Kärberi tn,58
Männiku tee,55
Ahtri tn,54
Majaka tn,51
Mere pst,51
J. Sütiste tee,49
Põhja pst,47
Rannamõisa tee,46
Nõmme tee,45
Viljandi mnt,45
Kadaka pst,41
Pae tn,41
Juhkentali tn,41
Ristiku tn,40
Pärnamäe tee,40
Järveotsa tee,39
Valdeku tn,38
Raadiku tn,38
Rävala pst,36
Tondi tn,35
Kaarli pst,35
Kolde pst,34
Pallasti tn,32
F. R. Kreutzwaldi tn,32
Paljassaare tee,29
Vabaõhumuuseumi tee,29
Pelguranna tn,29
Mahtra tn,29
Randvere tee,28
Veerenni tn,27
Ranna tee,26
Pronksi tn,26
Suur-Ameerika tn,25
Kloostrimetsa tee,24
Paekaare tn,24
Liikuri tn,24
Lastekodu tn,24
Astangu tn,24
Rahumäe tee,23
Kalaranna tn,23
Kose tee,22
Luise tn,21
Tuukri tn,21
Linnu tee,21
Retke tee,20
Tähesaju tee,20
Reidi tee,20
J. Kunderi tn,19
A. Laikmaa tn,19
Kivila tn,19
Kotka tn,19
Viru väljak,18
Rannamäe tee,18
Läänemere tee,18
Ussimäe tee,18
Tähetorni tn,17
Vabaduse väljak,17
Erika tn,17
Valge tn,16
Keskuse tn,16
Sadama tn,16
Teatri väljak,16
Tatari tn,15
Raua tn,15
Varraku tn,15
Soo tn,15
Sitsi tn,15
Võidujooksu tn,15
Väike-Ameerika tn,14
Kakumäe tee,14
Hobujaama tn,14
Koidu tn,14
Vikerlase tn,13
Filtri tee,13
J. Vilmsi tn,13
Rummu tee,13
Ümera tn,13
Laeva tn,13
Puhangu tn,13
Lasnamäe tn,13
Kari tn,12
Raudtee tn,12
Koskla tn,12
Priisle tee,12
Kai tn,12
Sakala tn,11
Viru tn,11
A. Weizenbergi tn,11
Kentmanni tn,10
Osmussaare tn,10
J. Poska tn,10
Lubja tn,10
Tervise tn,10
J. Koorti tn,10
Turu plats,10
Jõe tn,10
Suur-Karja tn,9
